text,label
"Dear customer please verify your account by clicking on this link immediately",1
"Q1 meeting notes and action items will be shared tomorrow",0
"URGENT: Confirm your bank credentials within 24 hours",1
"Hi team, please review the project timeline attached",0
"Your PayPal account has been compromised, reset your password now",1
"Meeting scheduled for 2pm in conference room B",0
"Click here to claim your free gift card today",1
"Let's sync up on the requirements and timeline next week",0
"Your Amazon order needs immediate payment confirmation",1
"Sprint retrospective summary for the team",0
"Congratulations you won a prize redeem it now at this link",1
"The deployment went smoothly and all tests passed",0
"Verify your identity by providing your SSN and credit card",1
"Coffee and bagels in the break room this morning",0
"Your account will be locked unlock it here before midnight",1
"Reminder task assigned to you due by Friday",0
"Click this link now to receive special offer",1
"Updated budget and financial forecasts for approval",0
"Your email has been suspended log in to restore access",1
"Product roadmap for next quarter with team input",0
"ALERT unusual login detected verify from your phone immediately",1
"Lunch gathering this Friday would you like to join",0
"Urgent: Wire transfer confirmation needed ASAP",1
"Slack integration with new project management tool is ready",0
"Your tax refund is ready click to collect",1
"Weekly standup sync tomorrow at 10am",0
"Your package cannot be delivered confirm address now",1
"GitHub pull request needs review and approval",0
"Secure your account now unusual activity detected",1
"Let us know your feedback on the new design",0
